key,source,en,context,char_limit,speaker,listener,emotion,status,screen,platform,plural,screenshot_reference
dlg_commander_briefing_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,5,Commander,Player,安撫,initial,commander_briefing,iOS,other,
dlg_commander_briefing_08,如果出事，就使用 SCOUT_REPORT。,"If something goes wrong, use SCOUT_REPORT.",SCOUT_REPORT 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Commander,急切,initial,commander_briefing,Android,other,
dlg_commander_briefing_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Commander,Player,堅定,initial,commander_briefing,iOS,other,
dlg_commander_briefing_10,走吧，下一站是北門。,Let's go. Next stop is the north gate.,本句結束 commander_briefing 場景，並銜接下一個任務地點。,30,Player,Commander,期待,initial,commander_briefing,Android,other,
dlg_market_haggling_01,你終於來了。,You're finally here.,晨星市集的開場；Merchant先確認Player是否安全抵達。,18,Merchant,Player,狡黠,initial,market_haggling,iOS,other,https://example.com/screens/market_haggling.png
dlg_market_haggling_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Merchant,懷疑,initial,market_haggling,Android,other,
dlg_market_haggling_03,先別解釋，看看古老寶箱。,Explanations can wait — look at the ancient chest.,,30,Merchant,Player,狡黠,initial,market_haggling,iOS,other,
dlg_market_haggling_04,它看起來不像普通的古老寶箱。,It doesn't look like an ordinary ancient chest.,,34,Player,Merchant,懷疑,initial,market_haggling,Android,other,
dlg_market_haggling_05,打開它。,Open it.,,12,Merchant,,,initial,,iOS,other,
dlg_market_haggling_06,等等，我聽見巡邏衛兵的聲音。,"Wait, I hear patrol guards.",,32,Player,Merchant,恐懼,initial,market_haggling,Android,other,
dlg_market_haggling_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Merchant,Player,安撫,initial,market_haggling,iOS,other,
dlg_market_haggling_08,如果出事，就使用 TRADE_PASS。,"If something goes wrong, use TRADE_PASS.",TRADE_PASS 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Merchant,急切,initial,market_haggling,Android,other,
dlg_market_haggling_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Merchant,Player,堅定,initial,market_haggling,iOS,other,
dlg_market_haggling_10,走吧，下一站是後巷倉庫。,Let's go. Next stop is the back-alley warehouse.,本句結束 market_haggling 場景，並銜接下一個任務地點。,30,Player,Merchant,期待,initial,market_haggling,Android,other,
dlg_moonstone_search_01,你終於來了。,You're finally here.,霧林深處的開場；Luna先確認Player是否安全抵達。,18,Luna,Player,焦急,initial,moonstone_search,iOS,other,https://example.com/screens/moonstone_search.png
dlg_moonstone_search_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Luna,專注,initial,moonstone_search,Android,other,
dlg_moonstone_search_03,先別解釋，看看月光碎片。,Explanations can wait — look at the moonlight shard.,,30,Luna,Player,焦急,initial,moonstone_search,iOS,other,
dlg_moonstone_search_04,它看起來不像普通的月光碎片。,It doesn't look like an ordinary moonlight shard.,,34,Player,Luna,專注,initial,moonstone_search,Android,other,
dlg_moonstone_search_05,打開它。,Open it.,此處的「它」明確指上一句的月光碎片，不是選單或背包。,12,Luna,Player,焦急,initial,moonstone_search,iOS,other,
dlg_moonstone_search_06,等等，我聽見狼群的聲音。,"Wait, I hear wolves.",,32,Player,Luna,恐懼,initial,moonstone_search,Android,other,
dlg_moonstone_search_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Luna,Player,安撫,initial,moonstone_search,iOS,other,
dlg_moonstone_search_08,如果出事，就使用 SILVER_FLARE。,"If something goes wrong, use SILVER_FLARE.",SILVER_FLARE 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Luna,急切,initial,moonstone_search,Android,other,
dlg_moonstone_search_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Luna,Player,堅定,initial,moonstone_search,iOS,other,
dlg_moonstone_search_10,走吧，下一站是枯井。,Let's go. Next stop is the dry well.,本句結束 moonstone_search 場景，並銜接下一個任務地點。,30,Player,Luna,期待,initial,moonstone_search,Android,other,
dlg_rescue_mira_01,你終於來了。,You're finally here.,黑塔牢房的開場；Mira先確認Player是否安全抵達。,18,Mira,Player,疲憊,initial,rescue_mira,iOS,other,https://example.com/screens/rescue_mira.png
dlg_rescue_mira_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Mira,關切,initial,rescue_mira,Android,other,
dlg_rescue_mira_03,先別解釋，看看牢門機關。,Explanations can wait — look at the cell door mechanism.,,30,Mira,Player,疲憊,initial,rescue_mira,iOS,other,
dlg_rescue_mira_04,它看起來不像普通的牢門機關。,It doesn't look like an ordinary cell door mechanism.,,34,Player,Mira,關切,initial,rescue_mira,Android,other,
dlg_rescue_mira_05,打開它。,Open it.,此處的「它」明確指上一句的牢門機關，不是選單或背包。,12,Mira,Player,疲憊,initial,rescue_mira,iOS,other,
dlg_rescue_mira_06,等等，我聽見典獄長的聲音。,"Wait, I hear the warden.",,32,Player,Mira,恐懼,initial,rescue_mira,Android,other,
dlg_rescue_mira_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Mira,Player,安撫,initial,rescue_mira,iOS,other,
dlg_rescue_mira_08,如果出事，就使用 CELL_KEY。,"If something goes wrong, use CELL_KEY.",CELL_KEY 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Mira,急切,initial,rescue_mira,Android,other,
dlg_rescue_mira_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Mira,Player,堅定,initial,rescue_mira,iOS,other,
dlg_rescue_mira_10,走吧，下一站是東側升降梯。,Let's go. Next stop is the east elevator.,本句結束 rescue_mira 場景，並銜接下一個任務地點。,30,Player,Mira,期待,initial,rescue_mira,Android,other,
dlg_campfire_confession_01,你終於來了。,You're finally here.,河畔營火的開場；Luna先確認Player是否安全抵達。,18,Luna,Player,悲傷,initial,campfire_confession,iOS,other,https://example.com/screens/campfire_confession.png
dlg_campfire_confession_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Luna,溫柔,initial,campfire_confession,Android,other,
dlg_campfire_confession_03,先別解釋，看看舊項鍊。,Explanations can wait — look at the old necklace.,,30,Luna,Player,悲傷,initial,campfire_confession,iOS,other,
dlg_campfire_confession_04,它看起來不像普通的舊項鍊。,It doesn't look like an ordinary old necklace.,,34,Player,Luna,溫柔,initial,campfire_confession,Android,other,
dlg_campfire_confession_05,打開它。,Open it.,此處的「它」明確指上一句的舊項鍊，不是選單或背包。,12,Luna,Player,悲傷,initial,campfire_confession,iOS,other,
dlg_campfire_confession_06,等等，我聽見遠處腳步的聲音。,"Wait, I hear footsteps in the distance.",,32,Player,Luna,恐懼,initial,campfire_confession,Android,other,
dlg_campfire_confession_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Luna,Player,安撫,initial,campfire_confession,iOS,other,
dlg_campfire_confession_08,如果出事，就使用 WARD_CHARM。,"If something goes wrong, use WARD_CHARM.",WARD_CHARM 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Luna,急切,initial,campfire_confession,Android,other,
dlg_campfire_confession_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Luna,Player,堅定,initial,campfire_confession,iOS,other,
dlg_campfire_confession_10,走吧，下一站是黎明渡口。,Let's go. Next stop is the dawn ferry crossing.,本句結束 campfire_confession 場景，並銜接下一個任務地點。,30,Player,Luna,期待,initial,campfire_confession,Android,other,
dlg_final_assault_01,你終於來了。,You're finally here.,王城外牆的開場；Commander先確認Luna是否安全抵達。,18,Commander,Luna,果斷,initial,final_assault,iOS,other,https://example.com/screens/final_assault.png
dlg_final_assault_02,路上發生了一點意外。,Something happened on the way.,,22,Luna,Commander,堅定,initial,final_assault,Android,other,
dlg_final_assault_03,先別解釋，看看攻城閘門。,Explanations can wait — look at the siege gate.,,30,Commander,Luna,果斷,initial,final_assault,iOS,other,
dlg_final_assault_04,它看起來不像普通的攻城閘門。,It doesn't look like an ordinary siege gate.,,34,Luna,Commander,堅定,initial,final_assault,Android,other,
dlg_final_assault_05,打開它。,Open it.,,12,Commander,,,initial,,iOS,other,
dlg_final_assault_06,等等，我聽見飛龍的聲音。,"Wait, I hear a dragon.",,32,Luna,Commander,恐懼,initial,final_assault,Android,other,
dlg_final_assault_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Commander,Luna,安撫,initial,final_assault,iOS,other,
dlg_final_assault_08,如果出事，就使用 DRAGON_SPEAR。,"If something goes wrong, use DRAGON_SPEAR.",DRAGON_SPEAR 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Luna,Commander,急切,initial,final_assault,Android,other,
dlg_final_assault_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Commander,Luna,堅定,initial,final_assault,iOS,other,
dlg_final_assault_10,走吧，下一站是中央廣場。,Let's go. Next stop is the central plaza.,本句結束 final_assault 場景，並銜接下一個任務地點。,30,Luna,Commander,期待,initial,final_assault,Android,other,
dlg_victory_market_01,你終於來了。,You're finally here.,重建市集的開場；Merchant先確認Mira是否安全抵達。,18,Merchant,Mira,興奮,initial,victory_market,iOS,other,https://example.com/screens/victory_market.png
dlg_victory_market_02,路上發生了一點意外。,Something happened on the way.,,22,Mira,Merchant,無奈,initial,victory_market,Android,other,
dlg_victory_market_03,先別解釋，看看王室貨箱。,Explanations can wait — look at the royal cargo crate.,,30,Merchant,Mira,興奮,initial,victory_market,iOS,other,
dlg_victory_market_04,它看起來不像普通的王室貨箱。,It doesn't look like an ordinary royal cargo crate.,,34,Mira,Merchant,無奈,initial,victory_market,Android,other,
dlg_victory_market_05,打開它。,Open it.,此處的「它」明確指上一句的王室貨箱，不是選單或背包。,12,Merchant,Mira,興奮,initial,victory_market,iOS,other,
dlg_victory_market_06,等等，我聽見醉漢騷動的聲音。,"Wait, I hear a drunk causing a commotion.",,32,Mira,Merchant,恐懼,initial,victory_market,Android,other,
dlg_victory_market_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Merchant,Mira,安撫,initial,victory_market,iOS,other,
dlg_victory_market_08,如果出事，就使用 ROYAL_SEAL。,"If something goes wrong, use ROYAL_SEAL.",ROYAL_SEAL 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Mira,Merchant,急切,initial,victory_market,Android,other,
dlg_victory_market_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Merchant,Mira,堅定,initial,victory_market,iOS,other,
dlg_victory_market_10,走吧，下一站是鐘樓廣場。,Let's go. Next stop is the clock tower plaza.,本句結束 victory_market 場景，並銜接下一個任務地點。,30,Mira,Merchant,期待,initial,victory_market,Android,other,
dlg_epilogue_temple_01,你終於來了。,You're finally here.,重建後的神殿的開場；Mira先確認Luna是否安全抵達。,18,Mira,Luna,平靜,initial,epilogue_temple,iOS,other,https://example.com/screens/epilogue_temple.png
dlg_epilogue_temple_02,路上發生了一點意外。,Something happened on the way.,,22,Luna,Mira,釋然,initial,epilogue_temple,Android,other,
dlg_epilogue_temple_03,先別解釋，看看新生祭壇。,Explanations can wait — look at the rebirth altar.,,30,Mira,Luna,平靜,initial,epilogue_temple,iOS,other,
dlg_epilogue_temple_04,它看起來不像普通的新生祭壇。,It doesn't look like an ordinary rebirth altar.,,34,Luna,Mira,釋然,initial,epilogue_temple,Android,other,
dlg_epilogue_temple_05,打開它。,Open it.,此處的「它」明確指上一句的新生祭壇，不是選單或背包。,12,Mira,Luna,平靜,initial,epilogue_temple,iOS,other,
dlg_epilogue_temple_06,等等，我聽見鐘聲的聲音。,"Wait, I hear bells ringing.",,5,Luna,Mira,恐懼,initial,epilogue_temple,Android,other,
dlg_epilogue_temple_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Mira,Luna,安撫,initial,epilogue_temple,iOS,other,
dlg_epilogue_temple_08,如果出事，就使用 DAWN_CRYSTAL。,"If something goes wrong, use DAWN_CRYSTAL.",DAWN_CRYSTAL 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Luna,Mira,急切,initial,epilogue_temple,Android,other,
dlg_epilogue_temple_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Mira,Luna,堅定,initial,epilogue_temple,iOS,other,
dlg_epilogue_temple_10,走吧，下一站是山頂花園。,Let's go. Next stop is the mountaintop garden.,本句結束 epilogue_temple 場景，並銜接下一個任務地點。,30,Luna,Mira,期待,initial,epilogue_temple,Android,other,
dlg_supply_route_01,你終於來了。,You're finally here.,西部補給站的開場；Merchant先確認Commander是否安全抵達。,18,Merchant,Commander,不耐,initial,supply_route,iOS,other,https://example.com/screens/supply_route.png
dlg_supply_route_02,路上發生了一點意外。,Something happened on the way.,,22,Commander,Merchant,謹慎,initial,supply_route,Android,other,
dlg_supply_route_03,先別解釋，看看密封貨櫃。,Explanations can wait — look at the sealed container.,,30,Merchant,Commander,不耐,initial,supply_route,iOS,other,
dlg_supply_route_04,它看起來不像普通的密封貨櫃。,It doesn't look like an ordinary sealed container.,,34,Commander,Merchant,謹慎,initial,supply_route,Android,other,
dlg_supply_route_05,打開它。,Open it.,此處的「它」明確指上一句的密封貨櫃，不是選單或背包。,12,Merchant,Commander,不耐,initial,supply_route,iOS,other,
dlg_supply_route_06,等等，我聽見沙塵暴的聲音。,"Wait, I hear a sandstorm.",,32,Commander,Merchant,恐懼,initial,supply_route,Android,other,
dlg_supply_route_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Merchant,Commander,安撫,initial,supply_route,iOS,other,
dlg_supply_route_08,如果出事，就使用 SUPPLY_LEDGER。,"If something goes wrong, use SUPPLY_LEDGER.",SUPPLY_LEDGER 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Commander,Merchant,急切,initial,supply_route,Android,other,
dlg_supply_route_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Merchant,Commander,堅定,initial,supply_route,iOS,other,
dlg_supply_route_10,走吧，下一站是峽谷哨站。,Let's go. Next stop is the canyon outpost.,本句結束 supply_route 場景，並銜接下一個任務地點。,30,Commander,Merchant,期待,initial,supply_route,Android,other,
dlg_hidden_chamber_01,你終於來了。,You're finally here.,王城密室的開場；Player先確認Mira是否安全抵達。,18,Player,Mira,震驚,initial,hidden_chamber,iOS,other,https://example.com/screens/hidden_chamber.png
dlg_hidden_chamber_02,路上發生了一點意外。,Something happened on the way.,,22,Mira,Player,警覺,initial,hidden_chamber,Android,other,
dlg_hidden_chamber_03,先別解釋，看看無名石棺。,Explanations can wait — look at the unmarked stone coffin.,,30,Player,Mira,震驚,initial,hidden_chamber,iOS,other,
dlg_hidden_chamber_04,它看起來不像普通的無名石棺。,It doesn't look like an ordinary unmarked stone coffin.,,34,Mira,Player,警覺,initial,hidden_chamber,Android,other,
dlg_hidden_chamber_05,打開它。,Open it.,,12,Player,,,initial,,iOS,other,
dlg_hidden_chamber_06,等等，我聽見機關轉動的聲音。,"Wait, I hear a mechanism turning.",,32,Mira,Player,恐懼,initial,hidden_chamber,Android,other,
dlg_hidden_chamber_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Player,Mira,安撫,initial,hidden_chamber,iOS,other,
dlg_hidden_chamber_08,如果出事，就使用 ANCIENT_SIGIL。,"If something goes wrong, use ANCIENT_SIGIL.",ANCIENT_SIGIL 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Mira,Player,急切,initial,hidden_chamber,Android,other,
dlg_hidden_chamber_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Player,Mira,堅定,initial,hidden_chamber,iOS,other,
dlg_hidden_chamber_10,走吧，下一站是地下王座。,Let's go. Next stop is the underground throne room.,本句結束 hidden_chamber 場景，並銜接下一個任務地點。,30,Mira,Player,期待,initial,hidden_chamber,Android,other,
